"StrategyName","Ticker","Direction","EntryTimestamp","ExitTimestamp","EntryPrice","ExitPrice","NetProfit","ExitReason"
"Swing Reversal Reclaim Bull Quality No News V1","INTC","long","2026-01-29T05:00:00+00:00","2026-02-06T05:00:00+00:00","47.6313","48.9895","55.0444","technical_exit_sma10_cross_below_sma20"
"Swing Reversal Reclaim Bull Quality No News V1","NVDA","long","2026-02-09T05:00:00+00:00","2026-02-12T05:00:00+00:00","184.5364","192.7405","104.6533","technical_exit_sma10_cross_below_sma20"
"Swing Reversal Reclaim Bull Quality No News V1","MU","long","2026-02-12T05:00:00+00:00","2026-02-18T05:00:00+00:00","422.8834","398.6011","-123.4115","technical_exit_sma10_cross_below_sma20"
"Swing Reversal Reclaim Bull Quality No News V1","INTC","long","2026-03-20T04:00:00+00:00","2026-03-25T04:00:00+00:00","47.0063","45.7812","-65.7052","technical_exit_sma10_cross_below_sma20"
"Swing Reversal Reclaim Bull Quality No News V1","INTC","long","2026-03-26T04:00:00+00:00","2026-03-30T04:00:00+00:00","46.3644","42.4499","-201.6395","stop_loss"
"Swing Reversal Reclaim Bull Quality No News V1","INTC","long","2026-04-02T04:00:00+00:00","2026-04-10T04:00:00+00:00","46.1291","62.5848","771.4179","take_profit"
"Swing Reversal Reclaim Bull Quality No News V1","NVDA","long","2026-05-07T04:00:00+00:00","2026-06-03T04:00:00+00:00","208.6525","221.3874","150.8188","technical_exit_sma10_cross_below_sma20"
"Swing Reversal Reclaim Bull Quality No News V1","APP","long","2026-05-15T04:00:00+00:00","2026-06-04T04:00:00+00:00","480.7100","553.6807","289.8828","trailing_stop"
"Swing Reversal Reclaim Bull Quality No News V1","MSFT","long","2026-05-18T04:00:00+00:00","2026-06-09T04:00:00+00:00","417.2449","400.0498","-105.1706","stop_loss"
"Swing Reversal Reclaim Bull Quality No News V1","CRDO","long","2026-05-22T04:00:00+00:00","2026-06-10T04:00:00+00:00","197.1453","237.3235","319.4256","end_of_data"
"Swing Overbought Rollover Short No News V5","INTC","short","2026-06-01T04:00:00+00:00","2026-06-10T04:00:00+00:00","109.2659","107.2006","35.1754","end_of_data"
"Swing Overbought Rollover Short No News V5","APP","short","2026-06-05T04:00:00+00:00","2026-06-10T04:00:00+00:00","577.0481","493.7195","331.3144","end_of_data"
